stress-vm,stress-cpu(%),stress-io(%),min-latency,max-latency,avg-latency,samples
7168M,50,30,0,6,0.29,96
6912M,50,30,0,40,0.76,91
6656M,50,30,0,5,0.65,93
6400M,50,30,0,12,0.42,93
6144M,50,30,0,1,0.19,97
5888M,50,30,0,1,0.20,96
5632M,50,30,0,3,0.41,95
7168M,30,30,0,1,0.34,94
6912M,30,30,0,18,0.56,94
6656M,30,30,0,7,0.33,96
6400M,30,30,0,4,0.41,95
6144M,30,30,0,3,0.29,96
5888M,30,30,0,2,0.46,94
5632M,30,30,0,2,0.24,95
7168M,10,30,0,2,0.32,96
6912M,10,30,0,14,0.48,94
6656M,10,30,0,3,0.34,97
6400M,10,30,0,11,0.54,94
6144M,10,30,0,1,0.25,97
5888M,10,30,0,6,0.43,95
5632M,10,30,0,1,0.27,96
7168M,0,30,0,1,0.36,96
6912M,0,30,0,11,0.47,95
6656M,0,30,0,3,0.40,95
6400M,0,30,0,7,0.46,95
6144M,0,30,0,5,0.34,95
5888M,0,30,0,1,0.29,97
5632M,0,30,0,3,0.46,96
7168M,50,20,0,4,0.41,95
6912M,50,20,0,9,0.37,95
6656M,50,20,0,14,0.37,95
6400M,50,20,0,7,0.35,95
6144M,50,20,0,3,0.29,96
5888M,50,20,0,6,0.32,96
5632M,50,20,0,1,0.27,96
7168M,30,20,0,35,0.65,93
6912M,30,20,0,20,1.12,88
6656M,30,20,0,3,0.31,94
6400M,30,20,0,5,0.41,93
6144M,30,20,0,7,0.45,93
5888M,30,20,0,1,0.32,96
5632M,30,20,0,2,0.28,95
7168M,10,20,0,7,0.45,75
6912M,10,20,0,5,0.37,94
6656M,10,20,0,21,0.78,91
6400M,10,20,0,11,0.40,95
6144M,10,20,0,6,0.73,91
5888M,10,20,0,2,0.26,97
5632M,10,20,0,3,0.23,96
7168M,0,20,0,10,0.52,93
6912M,0,20,0,14,0.52,91
6656M,0,20,0,27,0.60,93
6400M,0,20,0,15,0.52,93
6144M,0,20,0,1,0.36,96
5888M,0,20,0,4,0.38,95
5632M,0,20,0,2,0.31,97
7168M,50,10,0,3,0.36,95
6912M,50,10,0,11,0.37,95
6656M,50,10,0,12,0.44,95
6400M,50,10,0,16,0.52,94
6144M,50,10,0,1,0.15,95
5888M,50,10,0,4,0.35,95
5632M,50,10,0,3,0.24,95
7168M,30,10,0,6,0.52,93
6912M,30,10,0,15,0.52,95
6656M,30,10,0,6,0.41,95
6400M,30,10,0,10,0.26,96
6144M,30,10,0,3,0.35,96
5888M,30,10,0,2,0.14,97
5632M,30,10,0,1,0.33,96
7168M,10,10,0,1,0.27,96
6912M,10,10,0,14,0.51,94
6656M,10,10,0,4,0.49,94
6400M,10,10,0,9,0.26,96
6144M,10,10,0,2,0.34,96
5888M,10,10,0,3,0.32,96
5632M,10,10,0,5,0.51,95
7168M,0,10,0,1,0.31,95
6912M,0,10,0,2,0.36,95
6656M,0,10,0,10,0.44,96
6400M,0,10,0,9,0.38,95
6144M,0,10,0,1,0.39,95
5888M,0,10,0,1,0.14,97
5632M,0,10,0,2,0.38,97
7168M,50,1,0,4,0.31,96
6912M,50,1,0,4,0.32,96
6656M,50,1,0,8,0.41,95
6400M,50,1,0,2,0.33,95
6144M,50,1,0,3,0.37,95
5888M,50,1,0,4,0.43,95
5632M,50,1,0,1,0.25,95
7168M,30,1,0,2,0.31,95
6912M,30,1,0,4,0.45,94
6656M,30,1,0,15,0.54,94
6400M,30,1,0,7,0.64,92
6144M,30,1,0,1,0.38,95
5888M,30,1,0,2,0.45,95
5632M,30,1,0,10,0.40,94
7168M,10,1,0,6,0.61,93
6912M,10,1,0,15,0.43,94
6656M,10,1,0,11,0.29,95
6400M,10,1,0,1,0.24,96
6144M,10,1,0,7,0.48,94
5888M,10,1,0,2,0.31,96
5632M,10,1,0,1,0.31,96
7168M,0,1,0,1,0.22,97
6912M,0,1,0,7,0.38,96
6656M,0,1,0,2,0.37,94
6400M,0,1,0,7,0.38,96
6144M,0,1,0,1,0.31,97
5888M,0,1,0,2,0.28,96
5632M,0,1,0,3,0.39,96
